Matrix Size,Chunk Size,Speedup Static,Speedup Dynamic,Speedup Guided
8,10,0.010228,0.017426,0.019146
8,20,0.016753,0.010088,0.011283
8,50,0.014151,0.016667,0.012857
8,100,0.019490,0.012384,0.019490
16,10,0.100662,0.096107,0.101911
16,20,0.112601,0.096649,0.139605
16,50,0.136201,0.137615,0.166065
16,100,0.165680,0.145349,0.132404
32,10,0.805556,0.975887,0.881443
32,20,1.179620,0.714801,0.670320
32,50,0.765864,0.762749,1.255046
32,100,1.281192,1.188256,1.245902
64,10,2.433229,2.720678,2.083867
64,20,2.724847,2.811155,2.842692
64,50,2.350923,2.529599,2.315390
64,100,2.864148,2.206463,2.831347
128,10,3.996125,4.931034,4.978649
128,20,3.827747,5.537265,4.512292
128,50,4.669993,4.121646,4.258179
128,100,4.621017,4.970909,5.468564
256,10,5.928981,6.034568,5.925299
256,20,5.956657,4.571192,5.934084
256,50,5.910984,5.621184,5.285840
256,100,5.826758,5.825977,5.850315
512,10,6.077721,6.063534,5.915839
512,20,6.123247,6.117506,6.326118
512,50,6.160235,6.112200,6.222972
512,100,6.313823,6.128361,6.310057
1024,10,3.601489,4.413496,3.815049
1024,20,4.445272,3.873543,4.388116
1024,50,3.641465,4.548648,3.891127
1024,100,4.481048,3.619853,4.441016
